Constituency_No,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_VOTES NOT RETREIVED_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
26,30-05-2002,01-06-2002,01-06-2002,33,834,True,9,0,9,2,0,2,1,0,1,6,0,6,3,0,3,20,0,0.0,UGDP,SALDANHA MATANHY,6741.0,INC,GODINHO MAUVIN HELIODORO,5891.0,8,0,0.0,13849,13557,27406,72,28,100,13921,13585,27506,12,0,0.0,8985,8729,17714,59,1,60,9044,8730,17774,12,0,0.0,17774,17772,2,0,2,10,0,0.0
27,30-05-2002,01-06-2002,01-06-2002,24,881,True,11,1,12,4,0,4,1,1,2,6,0,6,4,0,4,20,0,0.0,INC,ALEIXO SEQUEIRA,8873.0,UGDP,GRACIAS RADHARAO SOCRATES,4119.0,8,0,0.0,10377,10762,21139,1,0,1,10378,10762,21140,12,0,0.0,6718,7362,14080,30,3,33,6748,7365,14113,12,0,0.0,14113,14110,3,0,1,10,0,0.0
28,30-05-2002,01-06-2002,01-06-2002,28,796,True,5,1,6,1,0,1,0,0,0,4,1,5,2,1,3,20,0,0.0,UGDP,PACHECO FRANCISCO XAVIER ALIAS MICKY PACHECO,7752.0,INC,ALEMAO CHURCHIL BRAZ,6703.0,12,3,25.0,10988,11285,22273,1,0,1,10989,11285,22274,12,0,0.0,6952,8050,15002,37,11,48,6989,8061,15050,12,0,0.0,15050,15048,2,0,0,10,0,0.0
29,30-05-2002,01-06-2002,01-06-2002,30,889,True,8,0,8,1,0,1,1,0,1,6,0,6,3,0,3,20,0,0.0,BJP,DAMODAR (DAMU) G. NAIK,5695.0,INC,CARDOZ LUIS ALEX FLORENCI,5107.0,8,0,0.0,13255,13425,26680,1,0,1,13256,13425,26681,12,0,0.0,8106,7991,16097,178,19,197,8284,8010,16294,12,0,0.0,16294,16287,7,0,3,10,0,0.0
30,30-05-2002,01-06-2002,01-06-2002,29,817,True,6,1,7,3,0,3,0,0,0,3,1,4,1,1,2,20,0,0.0,BJP,KAMAT DIGAMBAR VASANT,8525.0,INC,CHODANKAR GIRISH RAYA,3781.0,8,0,0.0,12059,11630,23689,1,0,1,12060,11630,23690,12,0,0.0,6814,6174,12988,54,5,59,6868,6179,13047,12,0,0.0,13047,13042,2,0,5,10,0,0.0
31,30-05-2002,01-06-2002,01-06-2002,27,885,True,6,0,6,1,0,1,1,0,1,4,0,4,2,0,2,20,0,0.0,INC,SARDINHA COSME FRANCISCO CAITANO,8907.0,IND,LOURENCO BRUNO SANTOS,6056.0,8,0,0.0,11947,11949,23896,0,0,0,11947,11949,23896,12,0,0.0,7536,8211,15747,46,11,57,7582,8222,15804,12,0,0.0,15804,15800,4,0,3,10,0,0.0
32,30-05-2002,01-06-2002,01-06-2002,37,793,True,8,1,9,1,1,2,1,0,1,6,0,6,4,0,4,20,0,0.0,INC,FALEIRO LUIZINHO,10245.0,IND,RAIKAR JOHN LOURENCE,5668.0,8,0,0.0,14762,14569,29331,2,1,3,14764,14570,29334,12,0,0.0,8119,9041,17160,46,15,61,8165,9056,17221,12,0,0.0,17221,17219,2,0,5,10,0,0.0
33,30-05-2002,01-06-2002,01-06-2002,27,744,True,3,0,3,0,0,0,0,0,0,3,0,3,1,0,1,20,0,0.0,IND,RODRIGUES FILIPE NERY,8664.0,INC,D'SILVA MARCUS SEBASTIANO,3148.0,8,0,0.0,9745,10349,20094,0,0,0,9745,10349,20094,12,0,0.0,5436,7384,12820,32,13,45,5468,7397,12865,12,0,0.0,12865,12865,0,0,0,10,0,0.0
34,30-05-2002,01-06-2002,01-06-2002,31,746,True,7,0,7,1,0,1,0,0,0,6,0,6,3,0,3,20,0,0.0,INC,ALEMAO JOAQUIM BRAZ,6426.0,NCP,D'SOUZA  ARECIO AGAPITO,4038.0,8,0,0.0,11375,11761,23136,0,0,0,11375,11761,23136,12,0,0.0,6640,7734,14374,60,16,76,6700,7750,14450,12,0,0.0,14450,14446,4,0,1,10,0,0.0
35,30-05-2002,01-06-2002,01-06-2002,33,720,True,8,0,8,1,0,1,0,0,0,7,0,7,5,0,5,20,0,0.0,BJP,TENDULKAR VINAY DENU,8195.0,IND,SALGAOCAR ANIL VASSUDEVA,5084.0,8,0,0.0,12104,11647,23751,4,0,4,12108,11647,23755,12,0,0.0,9037,7852,16889,72,13,85,9109,7865,16974,12,0,0.0,16974,16967,7,0,0,10,0,0.0
36,30-05-2002,01-06-2002,01-06-2002,28,662,True,9,0,9,1,0,1,1,0,1,7,0,7,5,0,5,20,0,0.0,BJP,VASUDEV MENGA GAONKAR,5747.0,INC,SATYAWAN BHADRU DESSAI,4910.0,8,0,0.0,9311,9231,18542,0,0,0,9311,9231,18542,12,0,0.0,6636,6450,13086,129,19,148,6765,6469,13234,12,0,0.0,13234,13224,10,0,0,10,0,0.0
37,30-05-2002,01-06-2002,01-06-2002,32,784,True,7,0,7,1,0,1,1,0,1,5,0,5,3,0,3,20,0,0.0,BJP,ADV. DESSAI RAMRAO GHANASHYAM,9806.0,INC,DOMNICK FERNANDES,8027.0,8,0,0.0,12649,12450,25099,2,0,2,12651,12450,25101,12,0,0.0,9221,8942,18163,207,45,252,9428,8987,18415,12,0,0.0,18415,18401,14,0,4,10,0,0.0
38,30-05-2002,01-06-2002,01-06-2002,33,786,True,11,1,12,2,0,2,3,0,3,6,1,7,4,1,5,20,0,0.0,INC,CHANDRAKANT RAGHU KALEKAR,8913.0,BJP,PRAKASH SHANKAR VELIP,7058.0,8,0,0.0,13101,12826,25927,0,0,0,13101,12826,25927,12,0,0.0,9720,9086,18806,150,5,155,9870,9091,18961,12,0,0.0,18961,18949,12,0,0,10,0,0.0
39,30-05-2002,01-06-2002,01-06-2002,24,767,True,5,0,5,2,0,2,0,0,0,3,0,3,1,0,1,20,0,0.0,BJP,VIJAY ANANDRAO PAI KHOT,8531.0,INC,SANJAY BANDEKAR,5648.0,8,0,0.0,9394,9012,18406,1,0,1,9395,9012,18407,12,0,0.0,7274,6964,14238,222,18,240,7496,6982,14478,12,0,0.0,14478,14472,6,0,1,10,0,0.0
40,30-05-2002,01-06-2002,01-06-2002,21,700,True,3,1,4,0,1,1,0,0,0,3,0,3,0,0,0,20,0,0.0,INC,ISIDORE DIOGO FERNANDES,5641.0,BJP,TAWADKAR RAMESH BOMBO,3773.0,8,0,0.0,7436,7261,14697,1,0,1,7437,7261,14698,12,0,0.0,5756,5566,11322,92,4,96,5848,5570,11418,12,0,0.0,11418,11415,3,0,2,10,0,0.0
