Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_BALLOT PAPER SET APART_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
24,False,False,20-05-1991,165,988,True,0,0,0,0,0,0,0,0,0,24,0,24,21,0,21,20,9,45.0,BJP,THAKUR PAL SINGH,26523.0,JD,RAJESH KUMAR,26261.0,8,0,0.0,87725,75367,163092,0,0,0,87725,75367,163092,12,0,0.0,58759,36450,95209,0,0,0,58759,36450,95209,12,0,0.0,95209,91603,3606,0,0,0,12,0,0.0
25,False,False,20-05-1991,205,963,True,0,0,0,0,0,0,0,0,0,26,0,26,24,0,24,20,9,45.0,BJP,PRATAP SINGH,44923.0,JD,MOHD. HAYAT,30207.0,8,0,0.0,108606,88824,197430,0,0,0,108606,88824,197430,12,0,0.0,72508,46689,119197,0,0,0,72508,46689,119197,12,0,0.0,119197,117041,2154,2,0,0,12,0,0.0
26,False,False,20-05-1991,190,988,True,0,0,0,0,0,0,0,0,0,18,0,18,14,0,14,20,9,45.0,BJP,TULA RAM SAINI,38989.0,JD,RAHAT MAHMOOD,24482.0,8,0,0.0,103244,84452,187696,0,0,0,103244,84452,187696,12,0,0.0,72192,40596,112788,0,0,0,72192,40596,112788,12,0,0.0,112788,108992,3796,0,0,0,12,0,0.0
27,False,False,20-05-1991,174,978,True,0,0,0,0,0,0,0,0,0,17,0,17,15,0,15,20,9,45.0,BJP,PREETAM SINGH,28979.0,JD,JAGRAM SINGH,27655.0,8,0,0.0,93580,76565,170145,0,0,0,93580,76565,170145,12,0,0.0,59589,29477,89066,0,0,0,59589,29477,89066,12,0,0.0,89066,82789,6041,236,0,0,12,0,0.0
28,False,False,20-05-1991,180,1036,True,0,0,0,0,0,0,0,0,0,20,0,20,17,0,17,20,9,45.0,JD,IQWAL MAHMOOD,39091.0,BJP,VIJAY KUMAR URF VIJAY TYAGI,35810.0,8,0,0.0,102390,84175,186565,0,0,0,102390,84175,186565,12,0,0.0,68907,49896,118803,0,0,0,68907,49896,118803,12,0,0.0,118803,111594,7209,0,0,0,12,0,0.0
29,False,False,20-05-1991,174,956,True,0,0,0,0,0,0,0,0,0,15,1,16,12,1,13,20,9,45.0,INC,BRIJENDRA PAL SINGH,25998.0,BJP,SATENDRA SIS URF SATENDRA SINGH,22844.0,8,0,0.0,91573,74770,166343,0,0,0,91573,74770,166343,12,0,0.0,50454,38057,88511,0,0,0,50454,38057,88511,12,0,0.0,88511,84584,3927,0,0,0,12,0,0.0
30,False,False,20-05-1991,174,1017,True,0,0,0,0,0,0,0,0,0,15,4,19,14,3,17,20,9,45.0,BJP,GULAB DEVI,29285.0,JD,YAD RAM,23029.0,8,0,0.0,97316,79601,176917,0,0,0,97316,79601,176917,12,0,0.0,54731,29100,83831,0,0,0,54731,29100,83831,12,0,0.0,83831,79624,4207,0,0,0,12,0,0.0
31,False,False,20-05-1991,175,1021,True,0,0,0,0,0,0,0,0,0,14,1,15,12,0,12,20,9,45.0,JD,AKWAR,41390.0,INC,REENA KUMARI,34959.0,8,0,0.0,98244,80379,178623,0,0,0,98244,80379,178623,12,0,0.0,68738,36844,105582,0,0,0,68738,36844,105582,12,0,0.0,105582,101478,4104,0,0,0,12,0,0.0
32,False,False,20-05-1991,213,988,True,0,0,0,0,0,0,0,0,0,33,1,34,30,1,31,20,9,45.0,BJP,J.P SINGH,40218.0,JD,SAMAR PAL SINGH,29752.0,8,0,0.0,115803,94736,210539,0,0,0,115803,94736,210539,12,0,0.0,63258,42886,106144,0,0,0,63258,42886,106144,12,0,0.0,106144,103072,3069,3,0,0,12,0,0.0
33,False,False,20-05-1991,222,967,True,0,0,0,0,0,0,0,0,0,42,1,43,40,0,40,20,9,45.0,JD,ZAHID HUSAIN,48204.0,BJP,SHAKUNTLA (SIKKA),28568.0,8,0,0.0,117474,97094,214568,0,0,0,117474,97094,214568,12,0,0.0,66427,42236,108663,0,0,0,66427,42236,108663,12,0,0.0,108663,106540,2117,6,0,0,12,0,0.0
