Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
358,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,PSP,RAGHUBIR SINGH,10744.0,JS,VIRENDRA SINGH,8811.0,8,0,0.0,80322,0,80322,0,0,0,80322,0,80322,9,2,22.22222222222222,45584,0,45584,0,0,0,45584,0,45584,9,2,22.22222222222222,45584,42206,3378,0,0,10,0,0.0
359,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,SWA,CHIRANJI LAL,22313.0,INC,KHAZANCHI LAL,11185.0,8,0,0.0,82417,0,82417,0,0,0,82417,0,82417,9,2,22.22222222222222,40618,0,40618,0,0,0,40618,0,40618,9,2,22.22222222222222,40618,38412,2206,0,0,10,0,0.0
360,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,SOC,MULTAN SINGH,10410.0,REP,RAM KHILARI VERMA,9234.0,8,0,0.0,79760,0,79760,0,0,0,79760,0,79760,9,2,22.22222222222222,41270,0,41270,0,0,0,41270,0,41270,9,2,22.22222222222222,41270,38356,2914,0,0,10,0,0.0
361,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,SOC,SHEO CHARAN,13292.0,INC,RAM CHANDRA SEHRA,8301.0,8,0,0.0,98031,0,98031,0,0,0,98031,0,98031,9,2,22.22222222222222,37118,0,37118,0,0,0,37118,0,37118,9,2,22.22222222222222,37118,34852,2266,0,0,10,0,0.0
362,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,REP,BHAGWAN DAS,12086.0,JS,JAGDISH PRASAD UPADHYAYA,11547.0,8,0,0.0,101108,0,101108,0,0,0,101108,0,101108,9,2,22.22222222222222,63964,0,63964,0,0,0,63964,0,63964,9,2,22.22222222222222,63964,59378,4586,0,0,10,0,0.0
363,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,VIDYAWATI,14554.0,REP,RAM SAHAI,10425.0,8,0,0.0,90901,0,90901,0,0,0,90901,0,90901,9,2,22.22222222222222,41864,0,41864,0,0,0,41864,0,41864,9,2,22.22222222222222,41864,38925,2939,0,0,10,0,0.0
364,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,REP,BANWARI LAL PIPRA,10986.0,PSP,HUKAM SINGH,10939.0,8,0,0.0,80793,0,80793,0,0,0,80793,0,80793,9,2,22.22222222222222,43696,0,43696,0,0,0,43696,0,43696,9,2,22.22222222222222,43696,41041,2655,0,0,10,0,0.0
365,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,JAGAN PRASAD,22208.0,SWA,TEJ SINGH,13288.0,8,0,0.0,88191,0,88191,0,0,0,88191,0,88191,9,2,22.22222222222222,53142,0,53142,0,0,0,53142,0,53142,9,2,22.22222222222222,53142,50936,2206,0,0,10,0,0.0
366,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,BALOJI AGRAWAL,20032.0,REP,PRAKASH NARAIN GUPTA,14562.0,8,0,0.0,89321,0,89321,0,0,0,89321,0,89321,9,2,22.22222222222222,62152,0,62152,0,0,0,62152,0,62152,9,2,22.22222222222222,62152,59642,2510,0,0,10,0,0.0
367,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,REP,KHEM CHAND,17003.0,INC,DEOKI NANDAN VIBHAV,15839.0,8,0,0.0,75349,0,75349,0,0,0,75349,0,75349,9,2,22.22222222222222,51368,0,51368,0,0,0,51368,0,51368,9,2,22.22222222222222,51368,49269,2099,0,0,10,0,0.0
368,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,CHATRA PATI AMBESH,21912.0,REP,KARAN SINGH KANE,20865.0,8,0,0.0,91602,0,91602,0,0,0,91602,0,91602,9,2,22.22222222222222,53662,0,53662,0,0,0,53662,0,53662,9,2,22.22222222222222,53662,51298,2364,0,0,10,0,0.0
369,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,CHAMPA WATI,17393.0,REP,KUNWAR SEN,11053.0,8,0,0.0,88701,0,88701,0,0,0,88701,0,88701,9,2,22.22222222222222,55322,0,55322,0,0,0,55322,0,55322,9,2,22.22222222222222,55322,51875,3447,0,0,10,0,0.0
370,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,KEDAR NATH,21700.0,JS,DEVI CHARAN,18746.0,8,0,0.0,89315,0,89315,0,0,0,89315,0,89315,9,2,22.22222222222222,55139,0,55139,0,0,0,55139,0,55139,9,2,22.22222222222222,55139,52176,2963,0,0,10,0,0.0
371,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,ACHARYA JUGAL KISHORE,17621.0,JS,WAZIR CHAND,11973.0,8,0,0.0,102815,0,102815,0,0,0,102815,0,102815,9,2,22.22222222222222,52647,0,52647,0,0,0,52647,0,52647,9,2,22.22222222222222,52647,49559,3088,0,0,10,0,0.0
372,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,SOC,LAKHI SINGH,18343.0,JS,TEEKAM SINGH,10828.0,8,0,0.0,95836,0,95836,0,0,0,95836,0,95836,9,2,22.22222222222222,58663,0,58663,0,0,0,58663,0,58663,9,2,22.22222222222222,58663,55743,2920,0,0,10,0,0.0
